AnimalType,IntakeMonth,Breed,Age,Sex,SpayNeuter,Size,Color,IntakeType,Class
CAT,May,,,FEMALE,false,MED,GRAY TIGER,Stray,Euthanized
CAT,April,,,FEMALE,false,KITTN,BLK SMOKE,Stray,Euthanized
CAT,September,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY,Owner Surrender,Euthanized
DOG,December,GERM SHEPHERD - ALASKAN HUSKY,Infant - Younger than 6 months,FEMALE,false,PUPPY,BLACK,Owner Surrender,Other
CAT,December,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,Stray,Other
DOG,April,BEAGLE - MIX,Older than 1 year,FEMALE,true,MED,BLACK,Foster Return,Other
DOG,July,,Older than 1 year,FEMALE,true,MED,BLUE,Owner Surrender,Home
DOG,July,CHIHUAHUA SH - MIX,Infant - Younger than 6 months,FEMALE,false,SMALL,WHITE,Owner Surrender,Other
CAT,June,,,MALE,false,MED,BLACK,Stray,Euthanized
CAT,November,,,MALE,false,LARGE,ORG TABBY,Owner Surrender,Euthanized
DOG,August,PIT BULL - MIX,Older than 1 year,MALE,false,MED,WHITE,Stray,Euthanized
CAT,August,,Older than 1 year,UNKNOWN,false,LARGE,BRN TABBY,Stray,Other
DOG,January,,Youth - Younger than 1 year,MALE,true,MED,TRICOLOR,Owner Surrender,Home
CAT,October,,Infant - Younger than 6 months,MALE,false,KITTN,BLACK,Stray,Other
DOG,August,,Older than 1 year,FEMALE,true,LARGE,BROWN,Stray,Euthanized
CAT,June,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
CAT,January,,Older than 1 year,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
CAT,May,,,MALE,false,LARGE,ORANGE,Stray,Euthanized
DOG,November,POINTER - MIX,Infant - Younger than 6 months,FEMALE,false,PUPPY,WHITE,Owner Surrender,Other
CAT,May,,,MALE,false,KITTN,ORANGE,Stray,Euthanized
CAT,August,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Stray,Other
DOG,October,CHIHUAHUA SH - POMERANIAN,Older than 7 years,MALE,true,SMALL,BROWN,Owner Surrender,Euthanized
CAT,December,,Youth - Younger than 1 year,MALE,true,MED,ORG TABBY,Owner Surrender,Home
CAT,July,,Older than 1 year,MALE,false,LARGE,BRN TABBY,Stray,Euthanized
CAT,June,,,UNKNOWN,false,LARGE,CALICO,Stray,Euthanized
DOG,September,,Older than 1 year,FEMALE,true,LARGE,YELLOW,Stray,Other
DOG,September,,Older than 1 year,MALE,false,LARGE,BLACK,Stray,Euthanized
DOG,November,VIZSLA - LABRADOR RETR,Older than 1 year,MALE,true,LARGE,BROWN,Stray,Home
CAT,July,,,FEMALE,false,LARGE,GRAY,Stray,Other
DOG,July,BEAGLE - BASSET HOUND,Older than 1 year,MALE,false,MED,TRICOLOR,Stray,Other
CAT,August,,Older than 1 year,FEMALE,true,LARGE,TORTIE,Owner Surrender,Other
DOG,April,,,MALE,false,PUPPY,WHITE,Stray,Home
DOG,September,,Older than 1 year,FEMALE,true,SMALL,WHITE,Owner Surrender,Home
DOG,May,GERM SHEPHERD - DOBERMAN PINSCH,,FEMALE,false,PUPPY,BROWN,Stray,Other
CAT,July,,,MALE,false,KITTN,WHITE,Owner Surrender,Euthanized
DOG,August,,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,Owner Surrender,Home
DOG,December,,Youth - Younger than 1 year,MALE,true,SMALL,BLACK,Stray,Home
CAT,April,,,UNKNOWN,false,KITTN,BLACK,Stray,Other
DOG,December,,,MALE,false,LARGE,BROWN,Stray,Euthanized
DOG,January,COLLIE SMOOTH - MIX,Youth - Younger than 1 year,FEMALE,true,MED,TRICOLOR,Stray,Home
CAT,June,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
CAT,March,,Older than 1 year,MALE,true,MED,ORANGE,Stray,Other
CAT,May,,,MALE,false,KITTN,BRN TABBY,Foster Return,Home
CAT,May,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLK TABBY,Owner Surrender,Euthanized
DOG,April,SHIH TZU - MIX,,FEMALE,false,TOY,GRAY,Stray,Other
CAT,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY TABBY,Owner Surrender,Euthanized
DOG,March,GERM SHEPHERD - NEWFOUNDLAND,Youth - Younger than 1 year,MALE,true,PUPPY,BLACK,Stray,Other
CAT,April,,,UNKNOWN,false,MED,BLACK,Stray,Euthanized
CAT,March,,Youth - Younger than 1 year,FEMALE,true,KITTN,BRN TABBY,Owner Surrender,Home
CAT,September,,Youth - Younger than 1 year,MALE,false,LARGE,GRAY TABBY,Stray,Other
DOG,February,,Older than 1 year,MALE,true,LARGE,WHITE,Owner Surrender,Home
DOG,December,,,FEMALE,false,MED,BR BRINDLE,Stray,Euthanized
DOG,March,LABRADOR RETR - GERM SHEPHERD,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,Owner Surrender,Home
CAT,June,,,UNKNOWN,false,KITTN,ORANGE,Stray,Euthanized
CAT,September,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Stray,Other
DOG,November,,Older than 1 year,MALE,true,SMALL,TRICOLOR,Owner Surrender,Home
DOG,March,LABRADOR RETR - WEIMARANER,Infant - Younger than 6 months,UNKNOWN,false,PUPPY,BLACK,Owner Surrender,Other
CAT,May,,Youth - Younger than 1 year,MALE,true,KITTN,WHITE,Owner Surrender,Home
CAT,August,,,FEMALE,false,KITTN,BLK TABBY,Owner Surrender,Euthanized
DOG,August,,Youth - Younger than 1 year,FEMALE,false,MED,BLACK,Stray,Euthanized
DOG,April,,Older than 1 year,MALE,true,LARGE,BLACK,Impound,Home
DOG,June,,Infant - Younger than 6 months,MALE,true,PUPPY,BR BRINDLE,Stray,Home
CAT,November,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
CAT,March,,Infant - Younger than 6 months,MALE,true,SMALL,GRAY TABBY,Stray,Other
DOG,May,GERM SHEPHERD - MIX,Infant - Younger than 6 months,MALE,true,PUPPY,BLACK,Stray,Home
CAT,June,,,UNKNOWN,false,LARGE,GRAY TABBY,Stray,Euthanized
CAT,August,,Youth - Younger than 1 year,MALE,true,KITTN,WHITE,Stray,Home
CAT,January,,,MALE,true,LARGE,ORANGE,Stray,Euthanized
DOG,June,CHOW CHOW - LABRADOR RETR,,MALE,false,MED,BLACK,Stray,Euthanized
CAT,May,,,MALE,false,KITTN,ORG TABBY,Stray,Euthanized
DOG,October,,Older than 7 years,MALE,true,MED,WHITE,Owner Surrender,Euthanized
DOG,April,,,FEMALE,true,LARGE,GOLD,Stray,Home
CAT,April,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
DOG,May,LABRADOR RETR - MIX,,FEMALE,false,PUPPY,WHITE,Stray,Euthanized
CAT,April,,,MALE,false,MED,GRAY TABBY,Stray,Euthanized
CAT,June,,,MALE,false,KITTN,ORG TABBY,Stray,Euthanized
DOG,January,,,MALE,false,MED,TRICOLOR,Stray,Euthanized
CAT,February,,Older than 1 year,FEMALE,true,MED,TORTIE,Stray,Home
CAT,August,,Older than 1 year,MALE,true,LARGE,GRAY,Stray,Home
DOG,January,,Older than 7 years,MALE,true,SMALL,BLACK,Owner Surrender,Other
DOG,July,,Older than 1 year,MALE,false,LARGE,BROWN,Impound,Euthanized
DOG,November,ROTTWEILER - PIT BULL,Infant - Younger than 6 months,UNKNOWN,false,PUPPY,BROWN,Owner Surrender,Euthanized
DOG,July,,Older than 1 year,MALE,true,LARGE,GRAY,Stray,Home
DOG,December,,Older than 1 year,MALE,true,LARGE,BLACK,Stray,Home
DOG,February,PIT BULL - MIX,Youth - Younger than 1 year,FEMALE,false,LARGE,BR BRINDLE,Stray,Euthanized
DOG,June,LABRADOR RETR - MIX,Infant - Younger than 6 months,MALE,true,LARGE,BLACK,Owner Surrender,Home
DOG,August,,Infant - Younger than 6 months,FEMALE,false,PUPPY,BLACK,Stray,Other
CAT,June,,,FEMALE,false,MED,GRAY,Owner Surrender,Euthanized
CAT,September,,Infant - Younger than 6 months,MALE,false,KITTN,BRN TABBY,Stray,Other
DOG,August,,,MALE,false,X-LRG,UNKNOWN,Reported Lost by Public,Other
DOG,July,CHIHUAHUA LH - FLAT COAT RETR,Infant - Younger than 6 months,MALE,true,PUPPY,BROWN,Stray,Home
DOG,November,,,FEMALE,false,MED,BLACK,Stray,Euthanized
CAT,May,,,FEMALE,false,KITTN,ORG TABBY,Stray,Euthanized
DOG,March,,Older than 1 year,FEMALE,true,SMALL,TAN,Stray,Home
DOG,August,LABRADOR RETR - MIX,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,Stray,Other
DOG,March,BOSTON TERRIER - MIX,,MALE,false,SMALL,BLACK,Stray,Euthanized
CAT,April,,Older than 1 year,FEMALE,true,MED,BLACK,Owner Surrender,Euthanized
CAT,July,,,UNKNOWN,false,LARGE,BLACK,Owner Surrender,Euthanized
DOG,October,,Older than 7 years,MALE,true,MED,WHITE,Owner Surrender,Other
DOG,July,,,FEMALE,false,MED,BROWN,Owner Surrender,Euthanized
CAT,October,,Infant - Younger than 6 months,MALE,true,MED,BLACK,Stray,Home
CAT,July,BENGAL - MIX,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY TABBY,Stray,Other
DOG,July,,,MALE,false,MED,BR BRINDLE,Foster Return,Other
DOG,July,,Older than 1 year,MALE,false,SMALL,CREAM,Stray,Other
DOG,July,,,FEMALE,false,MED,BROWN,Stray,Euthanized
DOG,June,AUST SHEPHERD - MIX,Infant - Younger than 6 months,FEMALE,false,PUPPY,WHITE,Stray,Other
DOG,January,,Older than 7 years,MALE,false,LARGE,RED,Owner Surrender,Other
DOG,June,PLOTT HOUND - DOBERMAN PINSCH,Older than 1 year,FEMALE,true,LARGE,BLACK,Owner Surrender,Other
CAT,August,,,UNKNOWN,false,MED,BLK SMOKE,Stray,Euthanized
CAT,July,,Older than 1 year,FEMALE,false,MED,WHITE,Stray,Euthanized
CAT,April,,Older than 1 year,FEMALE,true,SMALL,BRN TABBY,Foster Return,Home
DOG,May,PIT BULL - MIX,,MALE,true,MED,BLACK,Stray,Home
CAT,August,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,Foster Return,Home
DOG,June,SILKY TERRIER - MIX,Older than 1 year,MALE,true,SMALL,BROWN,Stray,Home
DOG,June,,Older than 1 year,MALE,false,LARGE,WHITE,Owner Surrender,Other
DOG,March,,,MALE,true,MED,TAN,Stray,Euthanized
DOG,November,,,UNKNOWN,false,LARGE,BROWN,Stray,Other
DOG,February,BEAGLE - SIBERIAN HUSKY,Older than 1 year,FEMALE,true,MED,BROWN,Stray,Home
CAT,December,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY,Stray,Euthanized
DOG,August,LABRADOR RETR - MIX,,MALE,false,MED,BLACK,Stray,Euthanized
CAT,June,,,MALE,false,LARGE,WHITE,Stray,Euthanized
CAT,October,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BRN TABBY,Stray,Euthanized
CAT,June,DOMESTIC SH - DOMESTIC SH,,FEMALE,false,SMALL,BRN TABBY,Stray,Euthanized
CAT,August,,,MALE,false,SMALL,GRAY,Owner Surrender,Euthanized
CAT,February,,,FEMALE,false,MED,TORTIE,Stray,Euthanized
CAT,November,,,MALE,false,MED,BLACK,Stray,Euthanized
DOG,February,,Older than 7 years,MALE,true,SMALL,WHITE,Stray,Home
DOG,April,,,MALE,true,LARGE,YELLOW,Stray,Home
DOG,August,GOLDEN RETR - BLACK/TAN HOUND,Older than 1 year,MALE,true,LARGE,GOLD,Owner Surrender,Home
CAT,June,,Older than 1 year,FEMALE,true,MED,BLACK,Impound,Other
CAT,February,,Infant - Younger than 6 months,MALE,true,KITTN,BUFF,Owner Surrender,Home
DOG,April,POMERANIAN - CHIHUAHUA LH,Older than 1 year,MALE,true,SMALL,CREAM,Owner Surrender,Other
DOG,October,LABRADOR RETR - MIX,Older than 1 year,FEMALE,true,MED,BLACK,Stray,Other
CAT,April,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TABBY,Owner Surrender,Other
DOG,July,POODLE TOY - MIX,Older than 1 year,FEMALE,true,TOY,WHITE,Stray,Home
DOG,September,GERM SHEPHERD - BOXER,Infant - Younger than 6 months,MALE,true,PUPPY,BROWN,Stray,Home
CAT,March,,,MALE,false,LARGE,BRN TABBY,Stray,Euthanized
DOG,February,PUG - BEAGLE,Older than 1 year,MALE,true,MED,BROWN,Owner Surrender,Euthanized
DOG,September,,Older than 1 year,FEMALE,true,MED,BLACK,Stray,Home
DOG,January,,,MALE,false,LARGE,FAWN,Stray,Euthanized
CAT,July,,Older than 7 years,MALE,true,SMALL,BLACK,Owner Surrender,Euthanized
CAT,July,BENGAL - MIX,Infant - Younger than 6 months,MALE,false,KITTN,BRN MERLE,Stray,Other
CAT,February,,Older than 7 years,MALE,true,LARGE,BRN TABBY,Foster Return,Home
DOG,July,CHOW CHOW - MIX,Older than 7 years,MALE,false,MED,BLACK,Owner Surrender,Euthanized
CAT,July,,,UNKNOWN,false,MED,BLACK,Stray,Euthanized
DOG,May,BEARDED COLLIE - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,WHITE,Stray,Home
DOG,October,,Infant - Younger than 6 months,FEMALE,false,PUPPY,FAWN,Owner Surrender,Other
DOG,July,,Older than 1 year,FEMALE,true,LARGE,BROWN,Stray,Home
DOG,May,,,MALE,true,MED,BLACK,Stray,Euthanized
CAT,September,MAINE COON - DOMESTIC LH,Older than 1 year,FEMALE,true,LARGE,BRN TABBY,Owner Surrender,Home
DOG,May,,Older than 1 year,FEMALE,true,SMALL,BLACK,Owner Surrender,Home
CAT,August,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY,Owner Surrender,Home
DOG,August,LABRADOR RETR - MIX,Older than 1 year,MALE,true,X-LRG,TAN,Stray,Euthanized
DOG,December,,,MALE,false,LARGE,BROWN,Stray,Euthanized
DOG,February,,Older than 1 year,MALE,true,LARGE,BL BRINDLE,Owner Surrender,Euthanized
CAT,September,,Older than 1 year,FEMALE,true,LARGE,GRAY TABBY,Stray,Home
CAT,March,,,FEMALE,false,LARGE,CALICO,Stray,Euthanized
CAT,March,,,MALE,false,MED,GRAY,Stray,Euthanized
DOG,April,LABRADOR RETR - MIX,Older than 1 year,FEMALE,true,MED,YELLOW,Stray,Home
DOG,July,PIT BULL - MIX,Youth - Younger than 1 year,FEMALE,true,PUPPY,WHITE,Owner Surrender,Home
CAT,June,,,UNKNOWN,false,KITTN,GRAY TABBY,Stray,Euthanized
CAT,July,,,UNKNOWN,false,MED,GRAY,Stray,Euthanized
DOG,June,GERM SHEPHERD - MIX,,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
CAT,April,,Infant - Younger than 6 months,MALE,true,KITTN,ORANGE,Stray,Home
DOG,May,GOLDEN RETR - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,TAN,Owner Surrender,Home
CAT,April,,,UNKNOWN,false,KITTN,CREAM,Owner Surrender,Other
CAT,January,,Older than 1 year,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
DOG,December,,,MALE,false,SMALL,WHITE,Stray,Other
CAT,September,,Youth - Younger than 1 year,MALE,false,KITTN,ORG TABBY,Owner Surrender,Euthanized
DOG,June,BEAGLE - MIX,Older than 1 year,FEMALE,false,MED,BROWN,Owner Surrender,Other
CAT,June,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TABBY,Stray,Home
DOG,March,,Older than 7 years,FEMALE,false,TOY,SILVER,Stray,Euthanized
CAT,April,,,UNKNOWN,false,MED,BUFF,Stray,Euthanized
CAT,June,,,FEMALE,false,MED,BRN TABBY,Stray,Other
CAT,July,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,Foster Return,Home
DOG,October,,,MALE,false,MED,BROWN,Stray,Euthanized
DOG,March,WELSH TERRIER - MIX,Older than 7 years,MALE,true,MED,TAN,Stray,Home
DOG,May,LABRADOR RETR - CATAHOULA,Infant - Younger than 6 months,MALE,false,MED,RED MERLE,Stray,Other
DOG,July,IBIZAN HOUND - MIX,,FEMALE,true,PUPPY,BLUE,Owner Surrender,Other
DOG,May,ROTTWEILER - MIX,Infant - Younger than 6 months,FEMALE,true,LARGE,BLACK,Stray,Home
CAT,June,,,UNKNOWN,false,KITTN,GRAY,Stray,Euthanized
DOG,March,BOXER - GREAT DANE,Older than 1 year,MALE,true,MED,BROWN,Impound,Home
CAT,March,,,UNKNOWN,false,MED,GRAY,Stray,Euthanized
DOG,December,,Older than 1 year,MALE,true,LARGE,BLACK,Stray,Other
DOG,February,,,FEMALE,false,LARGE,BLACK,Impound,Other
DOG,December,PUG - MIX,Older than 1 year,MALE,true,MED,BROWN,Stray,Home
DOG,April,,Older than 1 year,MALE,true,LARGE,CREAM,Owner Surrender,Home
DOG,October,PIT BULL - MIX,Older than 7 years,MALE,true,LARGE,BR BRINDLE,Stray,Home
CAT,September,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
CAT,May,,,MALE,false,MED,WHITE,Owner Surrender,Euthanized
CAT,May,,,FEMALE,false,KITTN,BLACK,Stray,Euthanized
DOG,March,COCKER SPAN - MIX,Older than 1 year,MALE,true,MED,BROWN,Out Patient Spay or Neuter,Other
CAT,July,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TIGER,Stray,Other
CAT,February,DOMESTIC SH - DOMESTIC SH,Older than 1 year,MALE,true,MED,GRAY,Owner Surrender,Other
CAT,August,,Older than 1 year,FEMALE,false,LARGE,GRAY TABBY,Owner Surrender,Euthanized
DOG,April,,Infant - Younger than 6 months,FEMALE,false,LARGE,GRAY,Stray,Other
CAT,July,,Older than 1 year,FEMALE,false,MED,BRN TABBY,Owner Surrender,Euthanized
CAT,August,,,FEMALE,false,LARGE,GRAY TABBY,Stray,Euthanized
CAT,December,,Older than 1 year,FEMALE,false,LARGE,BLK TABBY,Stray,Euthanized
DOG,April,,,MALE,false,MED,BR BRINDLE,Impound,Other
DOG,June,GERM SHEPHERD - MIX,,MALE,false,MED,BROWN,Stray,Euthanized
CAT,February,,Older than 1 year,MALE,true,MED,BLACK,Owner Surrender,Euthanized
DOG,January,,Older than 1 year,MALE,true,SMALL,BROWN,Impound,Other
CAT,April,,,MALE,false,KITTN,GRAY,Stray,Euthanized
DOG,July,,Older than 7 years,MALE,false,LARGE,BLACK,Owner Surrender,Euthanized
CAT,September,,,FEMALE,false,KITTN,GRAY TABBY,Owner Surrender,Euthanized
CAT,April,,Infant - Younger than 6 months,MALE,true,MED,ORG TABBY,Owner Surrender,Home
DOG,September,,Older than 1 year,MALE,true,LARGE,BLACK,Owner Surrender,Euthanized
DOG,September,MASTIFF - MIX,,MALE,false,PUPPY,TAN,Owner Surrender,Other
CAT,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BRN TABBY,Stray,Euthanized
CAT,February,,Infant - Younger than 6 months,MALE,true,KITTN,SEAL PT,Owner Surrender,Other
CAT,January,,,FEMALE,false,SMALL,WHITE,Impound,Euthanized
DOG,August,BEAGLE - MIN PINSCHER,Infant - Younger than 6 months,MALE,true,PUPPY,TAN,Foster Return,Home
DOG,April,AMERICAN STAFF - PIT BULL,Older than 7 years,FEMALE,true,MED,WHITE,Owner Surrender,Euthanized
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Owner Surrender,Euthanized
CAT,August,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,Owner Surrender,Other
CAT,September,,Older than 1 year,FEMALE,true,MED,CALICO,Stray,Other
CAT,January,,Older than 1 year,MALE,false,LARGE,BLK TABBY,Owner Surrender,Euthanized
CAT,January,,Youth - Younger than 1 year,FEMALE,true,MED,LYNX PT,Owner Surrender,Home
DOG,June,GERM SHEPHERD - MIX,,FEMALE,true,MED,BLACK,Owner Surrender,Home
DOG,November,,Older than 1 year,MALE,true,LARGE,BLACK,Stray,Other
DOG,January,PIT BULL - MIX,Youth - Younger than 1 year,FEMALE,true,PUPPY,BLACK,Foster Return,Home
DOG,August,,,FEMALE,false,MED,UNKNOWN,Reported Lost by Public,Other
DOG,August,,,FEMALE,false,MED,BLACK,Stray,Euthanized
DOG,December,,Older than 1 year,FEMALE,true,SMALL,BLACK,Stray,Other
CAT,May,,Older than 1 year,FEMALE,true,MED,BLACK,Stray,Other
CAT,March,,,FEMALE,false,MED,BLACK,Stray,Euthanized
CAT,July,,Older than 1 year,FEMALE,false,MED,GRAY,Stray,Euthanized
CAT,May,,,MALE,false,KITTN,ORG TABBY,Stray,Euthanized
DOG,May,GREAT DANE - MIX,,MALE,true,LARGE,WHITE,Impound,Home
DOG,March,,Older than 7 years,MALE,true,MED,BLACK,Stray,Home
DOG,December,,Older than 1 year,FEMALE,true,MED,BR BRINDLE,Stray,Other
DOG,January,,,MALE,false,LARGE,BLACK,Stray,Other
DOG,July,,Youth - Younger than 1 year,FEMALE,false,PUPPY,BLACK,Stray,Euthanized
CAT,September,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,Stray,Other
DOG,July,BOXER - MIX,Older than 1 year,MALE,true,MED,BROWN,Stray,Home
