AnimalType,IntakeMonth,Breed,Age,Sex,SpayNeuter,Size,Color,IntakeType,Class
DOG,April,BASSET HOUND - LABRADOR RETR,Older than 1 year,MALE,true,SMALL,BLACK,Owner Surrender,Other
DOG,May,BEAGLE - MIX,Older than 1 year,FEMALE,true,MED,WHITE,Stray,Home
DOG,May,BEAGLE - MIX,Older than 1 year,FEMALE,true,MED,BROWN,Stray,Home
CAT,August,,,UNKNOWN,false,MED,BRN TABBY,Stray,Euthanized
DOG,August,,,MALE,false,SMALL,UNKNOWN,Reported Lost by Public,Other
CAT,September,,,UNKNOWN,false,SMALL,BLACK,Stray,Euthanized
DOG,February,DALMATIAN - PIT BULL,,FEMALE,true,LARGE,WHITE,Stray,Euthanized
CAT,August,,,MALE,false,SMALL,UNKNOWN,Reported Lost by Public,Other
CAT,April,,Older than 1 year,UNKNOWN,false,MED,BLACK,Owner Surrender,Euthanized
CAT,April,,,FEMALE,false,MED,ORG TABBY,Stray,Other
CAT,April,,Older than 7 years,MALE,true,SMALL,WHITE,Owner Surrender,Euthanized
CAT,November,,,MALE,false,LARGE,BRN TABBY,Stray,Euthanized
DOG,April,PIT BULL - MIX,,MALE,false,MED,BROWN,Stray,Other
DOG,August,,,MALE,false,PUPPY,TAN,Stray,Other
CAT,February,,Youth - Younger than 1 year,MALE,false,MED,BRN TABBY,Owner Surrender,Euthanized
CAT,September,,,FEMALE,false,KITTN,TORTIE,Stray,Euthanized
CAT,August,,Older than 7 years,FEMALE,true,LARGE,BRN TIGER,Owner Surrender,Euthanized
CAT,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,Stray,Other
DOG,May,CHOW CHOW - MIX,Older than 1 year,FEMALE,true,MED,RED,Stray,Other
DOG,January,,Older than 1 year,MALE,true,PUPPY,BROWN,Stray,Home
DOG,February,BORDER COLLIE - GOLDEN RETR,Older than 1 year,FEMALE,true,MED,BUFF,Foster Return,Other
DOG,June,DACHSHUND - MIX,,MALE,false,SMALL,BLACK,Owner Surrender,Euthanized
DOG,March,,Older than 7 years,FEMALE,false,SMALL,BLACK,Stray,Other
CAT,April,,Older than 1 year,FEMALE,true,MED,TORTIE,Stray,Home
CAT,March,,,MALE,false,LARGE,WHITE,Stray,Euthanized
DOG,September,,Older than 1 year,FEMALE,true,TOY,BLACK,Impound,Other
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,WHITE,Owner Surrender,Euthanized
DOG,May,,Older than 1 year,MALE,true,SMALL,WHITE,Owner Surrender,Home
DOG,August,PIT BULL - MIX,,FEMALE,false,LARGE,BROWN,Stray,Euthanized
DOG,April,AUST SHEPHERD - MIX,Older than 1 year,FEMALE,true,MED,BLACK,Out Patient Spay or Neuter,Other
CAT,September,,,UNKNOWN,false,KITTN,ORG TABBY,Owner Surrender,Other
DOG,February,RAT TERRIER - JACK RUSS TER,,FEMALE,false,SMALL,WHITE,Stray,Euthanized
DOG,January,AMER BULLDOG - CANE CORSO,Older than 1 year,MALE,true,LARGE,TAN,Disposal Request by Public,Other
CAT,December,,,FEMALE,false,MED,BLACK,Stray,Euthanized
CAT,May,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLK TABBY,Stray,Other
CAT,June,,,MALE,false,KITTN,BLACK,Stray,Euthanized
CAT,April,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,Owner Surrender,Euthanized
CAT,July,,Infant - Younger than 6 months,MALE,true,SMALL,BLACK,Owner Surrender,Home
CAT,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,WHITE,Stray,Other
CAT,June,,Youth - Younger than 1 year,MALE,true,MED,BLACK,Stray,Other
CAT,May,,,FEMALE,false,SMALL,BLACK,Stray,Euthanized
DOG,June,,,FEMALE,false,MED,BR BRINDLE,Owner Surrender,Euthanized
DOG,September,LABRADOR RETR - PIT BULL,,MALE,false,MED,RED,Owner Surrender,Other
DOG,June,AUST CATTLE DOG - MIX,Older than 1 year,FEMALE,true,MED,BROWN,Owner Surrender,Other
CAT,April,,,MALE,false,MED,GRAY TABBY,Stray,Euthanized
DOG,June,PIT BULL - MIX,,FEMALE,false,MED,BROWN,Stray,Euthanized
DOG,March,,Older than 7 years,FEMALE,true,LARGE,CHOCOLATE,Owner Surrender,Euthanized
CAT,November,,,MALE,true,MED,WHITE,Stray,Euthanized
CAT,March,,Infant - Younger than 6 months,FEMALE,true,KITTN,TORTIE,Stray,Other
DOG,January,PIT BULL - CANE CORSO,Older than 1 year,MALE,true,LARGE,FAWN,Stray,Other
CAT,April,,,MALE,false,LARGE,GRAY TABBY,Stray,Euthanized
CAT,July,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,Stray,Other
CAT,December,,Infant - Younger than 6 months,FEMALE,true,MED,BLACK,Stray,Other
DOG,June,,Older than 1 year,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
DOG,April,,,FEMALE,true,MED,BROWN,Stray,Home
DOG,February,ANATOL SHEPHERD - MIX,Infant - Younger than 6 months,MALE,true,PUPPY,YELLOW,Stray,Home
DOG,February,,Older than 7 years,MALE,false,LARGE,BLACK,Owner Surrender,Euthanized
DOG,June,,Older than 7 years,FEMALE,true,X-LRG,BLACK,Owner Surrender,Euthanized
CAT,December,,,MALE,false,X-LRG,BRN TABBY,Stray,Euthanized
DOG,December,CAIRN TERRIER - MIX,Older than 1 year,FEMALE,true,SMALL,TAN,Stray,Home
CAT,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY TABBY,Foster Return,Other
DOG,August,PIT BULL - MIX,Older than 1 year,FEMALE,false,SMALL,WHITE,Owner Surrender,Euthanized
DOG,May,,Older than 1 year,FEMALE,true,MED,TRICOLOR,Owner Surrender,Home
CAT,May,,,MALE,true,LARGE,GRAY,Stray,Euthanized
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY TABBY,Stray,Other
DOG,July,,Older than 7 years,MALE,true,LARGE,BLACK,Owner Surrender,Euthanized
DOG,May,,Older than 1 year,MALE,true,LARGE,TRICOLOR,Stray,Home
DOG,August,,Older than 1 year,MALE,true,SMALL,BLACK,Owner Surrender,Other
DOG,March,,Older than 1 year,FEMALE,true,MED,WHITE,Owner Surrender,Other
CAT,August,,Older than 1 year,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
CAT,May,,Infant - Younger than 6 months,MALE,false,KITTN,BLK TABBY,Owner Surrender,Euthanized
DOG,June,BEAGLE - MIX,Youth - Younger than 1 year,FEMALE,true,LARGE,TAN,Owner Surrender,Home
CAT,November,,Older than 1 year,MALE,true,LARGE,BUFF,Stray,Other
CAT,June,,Youth - Younger than 1 year,MALE,false,SMALL,BLACK,Owner Surrender,Euthanized
DOG,September,COCKER SPAN - PAPILLON,Older than 1 year,MALE,true,SMALL,WHITE,Stray,Home
CAT,June,,Older than 1 year,MALE,true,LARGE,BLACK,Owner Surrender,Other
CAT,June,,,MALE,false,MED,BLACK,Stray,Euthanized
CAT,February,,Older than 1 year,FEMALE,false,MED,TORTIE,Owner Surrender,Euthanized
CAT,May,,,UNKNOWN,false,MED,WHITE,Stray,Euthanized
CAT,July,,,FEMALE,false,KITTN,CALICO,Stray,Other
DOG,February,BORDER COLLIE - MIX,,MALE,false,PUPPY,WHITE,Stray,Other
DOG,May,PIT BULL - MIX,,FEMALE,false,LARGE,BROWN,Impound,Euthanized
CAT,June,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY,Stray,Other
CAT,March,,,FEMALE,false,SMALL,ORG TABBY,Stray,Other
CAT,January,,,MALE,false,LARGE,ORG TABBY,Stray,Euthanized
DOG,May,,Older than 1 year,FEMALE,true,MED,BLUE,Stray,Home
DOG,January,,Older than 1 year,MALE,true,SMALL,WHITE,Out Patient Spay or Neuter,Other
DOG,February,CHOW CHOW - MIX,Older than 1 year,MALE,false,LARGE,TAN,Owner Surrender,Euthanized
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Stray,Euthanized
DOG,March,,,FEMALE,false,MED,BR BRINDLE,Owner Surrender,Other
CAT,April,,Infant - Younger than 6 months,FEMALE,true,KITTN,CREAM,Foster Return,Home
CAT,August,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Stray,Other
DOG,December,,Older than 1 year,MALE,true,SMALL,WHITE,Stray,Other
CAT,July,,Older than 1 year,FEMALE,false,LARGE,TORTIE,Stray,Euthanized
CAT,June,,Infant - Younger than 6 months,MALE,true,SMALL,BRN TABBY,Foster Return,Home
DOG,January,,Older than 7 years,MALE,true,LARGE,SILVER,Stray,Home
CAT,June,,Older than 1 year,MALE,true,LARGE,BLACK,Stray,Home
DOG,January,,,MALE,false,LARGE,RED,Stray,Euthanized
CAT,August,,,FEMALE,false,MED,BLACK,Stray,Euthanized
DOG,June,,Infant - Younger than 6 months,MALE,true,PUPPY,TRICOLOR,Stray,Home
CAT,September,,Older than 1 year,MALE,false,MED,BUFF,Stray,Euthanized
DOG,December,BEAGLE - BORDER COLLIE,Youth - Younger than 1 year,FEMALE,true,PUPPY,TAN,Owner Surrender,Euthanized
CAT,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY TABBY,Owner Surrender,Euthanized
DOG,March,BOXER - MIX,Youth - Younger than 1 year,MALE,true,MED,TAN,Stray,Home
DOG,January,,,FEMALE,false,MED,BROWN,Stray,Euthanized
CAT,January,,,FEMALE,false,KITTN,WHITE,Stray,Euthanized
DOG,May,,Older than 1 year,FEMALE,true,LARGE,CHOCOLATE,Stray,Home
CAT,July,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY TABBY,Owner Surrender,Home
DOG,March,,Older than 1 year,MALE,true,MED,BLACK,Stray,Other
CAT,August,,,UNKNOWN,false,MED,BLACK,Stray,Euthanized
CAT,August,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLK TABBY,Owner Surrender,Other
CAT,March,,,FEMALE,false,MED,GRAY TABBY,Stray,Other
DOG,August,PRESA CANARIO - CANE CORSO,Older than 1 year,MALE,true,LARGE,TAN,Stray,Other
DOG,March,LABRADOR RETR - DOBERMAN PINSCH,Older than 1 year,FEMALE,true,MED,BLACK,Stray,Home
DOG,December,POINTER - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,WHITE,Stray,Other
DOG,May,,Older than 1 year,MALE,true,MED,BROWN,Stray,Home
DOG,May,IRISH TERRIER - MIX,Infant - Younger than 6 months,MALE,true,PUPPY,RED,Stray,Home
CAT,February,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,Owner Surrender,Other
DOG,June,,Older than 1 year,MALE,true,MED,RED MERLE,Owner Surrender,Other
CAT,November,,,MALE,false,LARGE,TAN,Stray,Euthanized
CAT,January,,Older than 1 year,MALE,true,MED,BLACK,Owner Surrender,Home
CAT,May,SIAMESE - MIX,,FEMALE,false,KITTN,LYNX PT,Owner Surrender,Other
CAT,September,MAINE COON - MIX,Older than 1 year,FEMALE,false,LARGE,BRN TABBY,Owner Surrender,Euthanized
DOG,May,GERM SHEPHERD - MIX,Older than 1 year,FEMALE,true,LARGE,BLACK,Owner Surrender,Euthanized
DOG,December,LABRADOR RETR - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,Stray,Home
DOG,April,LABRADOR RETR - MIX,Older than 7 years,MALE,true,LARGE,BLACK,Stray,Home
CAT,August,,,UNKNOWN,false,LARGE,BLACK,Owner Surrender,Other
DOG,September,,Older than 1 year,MALE,true,LARGE,FAWN,Owner Surrender,Euthanized
DOG,February,PUG - MIX,,MALE,true,SMALL,BLACK,Impound,Home
DOG,July,BEAGLE - MIX,Older than 7 years,MALE,false,MED,TRICOLOR,Owner Surrender,Euthanized
CAT,September,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY,Stray,Other
DOG,July,,,MALE,true,MED,TRICOLOR,Stray,Other
CAT,March,,,FEMALE,false,LARGE,GRAY,Stray,Other
CAT,May,,Older than 1 year,MALE,true,X-LRG,ORANGE,Owner Surrender,Euthanized
DOG,June,,,MALE,true,TOY,GRAY,Stray,Euthanized
CAT,October,,,FEMALE,false,MED,WHITE,Stray,Euthanized
CAT,March,,,FEMALE,false,MED,CALICO,Stray,Euthanized
CAT,September,,Older than 1 year,FEMALE,false,MED,BLACK,Stray,Other
DOG,July,,Infant - Younger than 6 months,FEMALE,false,PUPPY,BROWN,Impound,Other
CAT,September,,,FEMALE,false,MED,CALICO,Stray,Euthanized
CAT,December,,,FEMALE,false,KITTN,BLACK,Stray,Euthanized
CAT,November,,,FEMALE,false,MED,BLK TABBY,Owner Surrender,Euthanized
DOG,August,,Older than 1 year,MALE,true,SMALL,TRICOLOR,Stray,Home
DOG,July,,Older than 1 year,FEMALE,true,MED,BROWN,Owner Surrender,Other
DOG,June,ALASK MALAMUTE - MIX,,MALE,true,LARGE,WHITE,Stray,Home
DOG,June,,,FEMALE,true,LARGE,GRAY,Stray,Home
CAT,October,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,Owner Surrender,Other
CAT,April,,,UNKNOWN,false,KITTN,BLACK,Owner Surrender,Other
DOG,February,SHIH TZU - MIX,Older than 1 year,FEMALE,true,SMALL,WHITE,Stray,Home
DOG,March,,Older than 7 years,MALE,true,LARGE,BLACK,Owner Surrender,Other
DOG,January,BEAGLE - MIX,,MALE,true,MED,BLACK,Stray,Home
CAT,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,WHITE,Stray,Euthanized
CAT,May,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
DOG,May,,,FEMALE,true,SMALL,WHITE,Owner Surrender,Other
DOG,November,,Youth - Younger than 1 year,FEMALE,true,SMALL,TAN,Stray,Other
DOG,October,POODLE TOY - PURE BRED,Older than 7 years,MALE,true,MED,APRICOT,Owner Surrender,Euthanized
DOG,May,CHOW CHOW - GERM SHEPHERD,Older than 7 years,MALE,true,LARGE,BLACK,Owner Surrender,Other
DOG,September,,,MALE,false,X-LRG,BROWN,Owner Surrender,Euthanized
DOG,May,CHIHUAHUA SH - MIX,Older than 1 year,MALE,true,MED,CREAM,Stray,Home
CAT,June,,Infant - Younger than 6 months,FEMALE,true,KITTN,CALICO,Foster Return,Home
CAT,October,,,UNKNOWN,false,MED,BROWN,Stray,Other
CAT,April,,,MALE,false,MED,BLACK,Stray,Euthanized
CAT,June,,Older than 1 year,UNKNOWN,false,LARGE,TRICOLOR,Stray,Euthanized
DOG,December,,Older than 1 year,FEMALE,false,LARGE,WHITE,Impound,Euthanized
CAT,August,,Youth - Younger than 1 year,FEMALE,false,MED,ORANGE,Stray,Euthanized
DOG,March,BOXER - MIX,,MALE,false,PUPPY,BROWN,Stray,Other
DOG,May,,Older than 7 years,MALE,true,LARGE,BLACK,Owner Surrender,Euthanized
DOG,May,,,MALE,true,LARGE,BROWN,Stray,Home
CAT,March,,Older than 1 year,FEMALE,false,SMALL,BRN TABBY,Stray,Other
DOG,January,,Older than 7 years,FEMALE,true,MED,BROWN,Owner Surrender,Euthanized
DOG,July,,Older than 1 year,MALE,true,SMALL,WHITE,Stray,Home
DOG,June,,Older than 1 year,MALE,true,X-LRG,RED,Owner Surrender,Other
DOG,June,BEAGLE - ROTTWEILER,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,Owner Surrender,Home
CAT,July,,Older than 7 years,FEMALE,true,LARGE,CALICO,Owner Surrender,Euthanized
CAT,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,Owner Surrender,Home
DOG,April,LABRADOR RETR - BASSET HOUND,Infant - Younger than 6 months,FEMALE,true,PUPPY,TAN,Owner Surrender,Home
DOG,March,,Older than 1 year,FEMALE,true,SMALL,RED,Owner Surrender,Home
DOG,July,PIT BULL - JACK RUSS TER,Older than 1 year,MALE,true,MED,BROWN,Impound,Home
CAT,May,,,UNKNOWN,false,LARGE,ORANGE,Stray,Euthanized
CAT,January,,,UNKNOWN,false,KITTN,GRAY,Impound,Euthanized
DOG,July,PLOTT HOUND - MIX,Older than 1 year,FEMALE,true,PUPPY,BR BRINDLE,Stray,Home
DOG,June,,,FEMALE,true,MED,TAN,Stray,Home
CAT,October,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,Stray,Euthanized
DOG,May,LABRADOR RETR - MIX,Youth - Younger than 1 year,FEMALE,true,SMALL,BLACK,Stray,Home
DOG,February,,Older than 7 years,FEMALE,true,MED,WHITE,Stray,Other
CAT,February,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TABBY,Foster Return,Home
CAT,September,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BRN TABBY,Owner Surrender,Euthanized
CAT,April,,Youth - Younger than 1 year,FEMALE,false,SMALL,GRAY,Owner Surrender,Euthanized
CAT,September,,,MALE,false,KITTN,BLK TABBY,Stray,Euthanized
DOG,May,,Older than 1 year,MALE,true,SMALL,BLACK,Owner Surrender,Home
CAT,June,,,FEMALE,false,KITTN,BLK TABBY,Stray,Euthanized
DOG,January,PIT BULL - MASTIFF,,MALE,false,LARGE,TAN,Stray,Euthanized
CAT,November,,,FEMALE,true,LARGE,ORG TABBY,Owner Surrender,Euthanized
CAT,September,,,UNKNOWN,false,KITTN,ORG TABBY,Stray,Other
CAT,September,,Infant - Younger than 6 months,FEMALE,true,MED,TORTIE,Foster Return,Home
CAT,February,,Infant - Younger than 6 months,FEMALE,false,KITTN,TORTIE,Stray,Other
CAT,December,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Stray,Euthanized
CAT,July,,Infant - Younger than 6 months,FEMALE,false,KITTN,BRN TIGER,Stray,Euthanized
DOG,May,,Older than 1 year,FEMALE,true,MED,YELLOW,Stray,Home
DOG,April,ROTTWEILER - GERM SHEPHERD,Older than 7 years,MALE,true,X-LRG,BLACK,Stray,Euthanized
CAT,May,,,MALE,false,LARGE,GRAY,Owner Surrender,Euthanized
CAT,January,,,UNKNOWN,false,KITTN,GRAY,Stray,Other
DOG,June,,Older than 1 year,FEMALE,true,MED,BUFF,Owner Surrender,Home
DOG,March,LABRADOR RETR - GERM SHEPHERD,Infant - Younger than 6 months,FEMALE,true,PUPPY,TAN,Owner Surrender,Home
CAT,August,,,MALE,false,KITTN,GRAY TABBY,Owner Surrender,Euthanized
CAT,May,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BLK TABBY,Stray,Euthanized
CAT,January,,Older than 1 year,MALE,false,MED,GRAY,Stray,Euthanized
CAT,July,,Infant - Younger than 6 months,FEMALE,true,KITTN,ORG TABBY,Stray,Home
DOG,September,REDBONE HOUND - MIX,Older than 1 year,MALE,true,LARGE,RED,Stray,Home
DOG,November,,Older than 1 year,FEMALE,true,MED,BR BRINDLE,Stray,Home
DOG,June,,Youth - Younger than 1 year,FEMALE,true,PUPPY,TAN,Owner Surrender,Home
CAT,September,,,MALE,false,KITTN,ORG TABBY,Stray,Euthanized
CAT,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY TABBY,Owner Surrender,Euthanized
DOG,July,LABRADOR RETR - MIX,Older than 1 year,MALE,true,MED,BLACK,Owner Surrender,Other
CAT,March,,,FEMALE,false,MED,WHITE,Stray,Euthanized
DOG,March,DACHSHUND WH - CHIHUAHUA SH,,FEMALE,false,SMALL,BLACK,Stray,Home
DOG,February,,Youth - Younger than 1 year,FEMALE,false,PUPPY,BLACK,Stray,Euthanized
CAT,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BRN TABBY,Stray,Euthanized
DOG,September,LABRADOR RETR - MIX,Older than 7 years,FEMALE,true,MED,BLACK,Owner Surrender,Euthanized
CAT,December,,Older than 1 year,FEMALE,false,MED,BRN TABBY,Owner Surrender,Euthanized
DOG,March,,Older than 1 year,MALE,true,LARGE,BLACK,Owner Surrender,Other
CAT,May,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
DOG,September,,,FEMALE,true,LARGE,BROWN,Stray,Other
DOG,May,,Youth - Younger than 1 year,MALE,true,LARGE,RED,Stray,Other
CAT,May,,,FEMALE,false,MED,CALICO,Stray,Other
DOG,June,,Older than 7 years,MALE,false,MED,TRICOLOR,Owner Surrender,Euthanized
DOG,March,SHIH TZU - MIX,,MALE,true,SMALL,TAN,Stray,Other
CAT,June,,,FEMALE,false,MED,BLACK,Stray,Other
CAT,May,,,UNKNOWN,false,KITTN,ORG TABBY,Foster Return,Euthanized
DOG,September,,Older than 1 year,FEMALE,false,MED,TRICOLOR,Stray,Other
DOG,July,,Older than 1 year,MALE,true,MED,FAWN,Stray,Other
CAT,March,,Older than 1 year,MALE,false,MED,BLACK,Stray,Euthanized
DOG,May,PIT BULL - BEAGLE,Infant - Younger than 6 months,UNKNOWN,false,PUPPY,BR BRINDLE,Owner Surrender,Other
CAT,June,,,FEMALE,false,LARGE,BRN TABBY,Stray,Other
DOG,May,,Older than 7 years,MALE,true,LARGE,BLACK,Stray,Home
CAT,February,,,FEMALE,false,MED,BLACK,Stray,Euthanized
CAT,August,,,FEMALE,false,KITTN,CALICO,Stray,Euthanized
CAT,August,,Older than 1 year,FEMALE,false,MED,BRN TABBY,Stray,Other
CAT,November,,,FEMALE,false,MED,BLACK,Owner Surrender,Other
DOG,July,MALTESE - MIX,Older than 7 years,FEMALE,false,MED,WHITE,Owner Surrender,Other
